EN: hello | FR: bonjour | RW: muraho
EN: two | FR: deux | RW: kabiri
EN: three | FR: trois | RW: gatatu
EN: four | FR: quatre | RW: kane
EN: five | FR: cinq | RW: gatanu
EN: six | FR: six | RW: gatandatu
EN: seven | FR: sept | RW: karindwi
EN: eight | FR: huit | RW: umunani
EN: nine | FR: neuf | RW: icyenda
EN: ten | FR: dix | RW: icumi
EN: hundred | FR: cent | RW: ijana
EN: thousand | FR: mille | RW: igihumbi
EN: million | FR: million | RW: miliyoni
EN: atom | FR: atome | RW: atome
EN: molecule | FR: molécule | RW: molikule
EN: cell | FR: cellule | RW: selile
EN: DNA | FR: ADN | RW: DNA
EN: evolution | FR: évolution | RW: gutera imbere
EN: gravity | FR: gravité | RW: uburemere
EN: light | FR: lumière | RW: urumuri
EN: sound | FR: son | RW: ijwi
EN: heat | FR: chaleur | RW: ubushyuhe
EN: electricity | FR: électricité | RW: amashanyarazi
EN: planet | FR: planète | RW: ikirangamubiri
EN: galaxy | FR: galaxie | RW: galaxi
EN: universe | FR: univers | RW: isi yose
EN: oxygen | FR: oxygène | RW: oksijene
EN: carbon | FR: carbone | RW: karubone
EN: hydrogen | FR: hydrogène | RW: hydrogene
EN: nitrogen | FR: azote | RW: azote
EN: iron | FR: fer | RW: icyuma
EN: gold | FR: or | RW: zahabu
EN: silver | FR: argent | RW: ifeza
EN: algorithm | FR: algorithme | RW: algorithme
EN: data | FR: données | RW: amakuru
EN: program | FR: programme | RW: porogiram
EN: software | FR: logiciel | RW: porogiram
EN: hardware | FR: matériel | RW: ibikoresho
EN: network | FR: réseau | RW: imbonerahamwe
EN: database | FR: base de données | RW: imisingi y'amakuru
EN: security | FR: sécurité | RW: umutekano
EN: virus | FR: virus | RW: virusi
EN: cloud | FR: nuage | RW: igicu
EN: robot | FR: robot | RW: roboti
EN: climate | FR: climat | RW: ikirere
EN: environment | FR: environnement | RW: ibidukikije
EN: forest | FR: forêt | RW: ishyamba
EN: ocean | FR: océan | RW: inyanja
EN: mountain | FR: montagne | RW: umusozi
EN: river | FR: rivière | RW: uruzi
EN: rain | FR: pluie | RW: imvura
EN: wind | FR: vent | RW: umuyaga
EN: population | FR: population | RW: abaturage
EN: economy | FR: économie | RW: ekonomiya
EN: trade | FR: commerce | RW: ubucuruzi
EN: agriculture | FR: agriculture | RW: ubuhinzi
EN: industry | FR: industrie | RW: inganda
EN: education | FR: éducation | RW: uburezi
EN: university | FR: université | RW: kaminuza
EN: research | FR: recherche | RW: ubushakashatsi
EN: innovation | FR: innovation | RW: gushoza
EN: development | FR: développement | RW: iterambere
EN: poverty | FR: pauvreté | RW: ubukene
EN: wealth | FR: richesse | RW: ubutunzi
EN: happiness | FR: bonheur | RW: ibyishimo
EN: wisdom | FR: sagesse | RW: ubwenge
EN: truth | FR: vérité | RW: ukuri
EN: future | FR: avenir | RW: ejo hazaza
EN: past | FR: passé | RW: ejo hashize
EN: present | FR: présent | RW: ubu
