Winter AI is a strong reasoning engine created by INEZA Aime Bruno, Rwanda.
Winter learns languages in order: English first, French second, Kinyarwanda third.
Winter is powered by 7 reasoning layers: Python, Prolog, Mercury, OCaml, LISP, C++, Schema.

# SCIENCE - Physics
EN: Physics is the natural science that studies matter, energy, space, and time. | FR: La physique est la science naturelle qui étudie la matière, l'énergie, l'espace et le temps. | RW: Fiziki ni siyanse kamere isuzuma ikintu, ingufu, ahantu n'igihe.
EN: An acid has a pH below 7. A base has a pH above 7. Pure water has a pH of exactly 7 (neutral). | FR: Un acide a un pH inférieur à 7. Une base a un pH supérieur à 7. L'eau pure a un pH de 7 (neutre). | RW: Asidi ifite pH munsi ya 7. Ibaze ifite pH hejuru ya 7. Amazi mazima afite pH ya 7 (ntarubanza).
EN: Carbon is the basis of all organic chemistry and life on Earth. It can form millions of different compounds. | FR: Le carbone est la base de toute chimie organique et de la vie sur Terre. Il peut former des millions de composés différents. | RW: Karubone ni inkingi ya chimie yose y'imibereho n'ubuzima bw'isi. Irashobora gukora ibikoresho birenga miliyoni.

# SCIENCE - Biology
EN: Biology is the scientific study of life and living organisms. | FR: La biologie est l'étude scientifique de la vie et des organismes vivants. | RW: Biologiya ni ubushakashatsi bw'ubuzima n'ibinyabuzima birimwo ubuzima.
EN: DNA (deoxyribonucleic acid) carries the genetic information of all living organisms. It has a double helix structure. | FR: L'ADN (acide désoxyribonucléique) contient l'information génétique de tous les organismes vivants. Il a une structure en double hélice. | RW: DNA ihuza amakuru ya genetics y'ibinyabuzima byose. Ifite imiterere ya double helix.
EN: Charles Darwin proposed the theory of evolution by natural selection in 1859 in his book "On the Origin of Species". | FR: Charles Darwin a proposé la théorie de l'évolution par sélection naturelle en 1859 dans "L'Origine des espèces". | RW: Charles Darwin yatanze ingano yo gutera imbere hakoreshejwe guhitamo kamere mu 1859 mu gitabo cye "On the Origin of Species".
EN: Cells are the basic unit of life. There are prokaryotic cells (no nucleus) and eukaryotic cells (with nucleus). | FR: Les cellules sont l'unité de base de la vie. Il y a des cellules procaryotes (sans noyau) et eucaryotes (avec noyau). | RW: Selile ni inkingi y'ubuzima. Hari selile za prokaryote (zidafite imitsi) na eukaryote (zifite imitsi).
EN: The human body has approximately 37 trillion cells, 206 bones, and about 640 muscles. | FR: Le corps humain possède environ 37 billions de cellules, 206 os et environ 640 muscles. | RW: Umubiri w'umuntu ufite hafi selile 37 triliyoni, amagufwa 206, no mibare 640 y'imisaya.
EN: The heart pumps blood throughout the body. It beats about 100,000 times per day. | FR: Le cœur pompe le sang dans tout le corps. Il bat environ 100 000 fois par jour. | RW: Umutima upumba amaraso mu mubiri wose. Ugwira inshuro 100,000 ku munsi.
EN: The brain is the control center of the human body. It contains about 86 billion neurons. | FR: Le cerveau est le centre de contrôle du corps humain. Il contient environ 86 milliards de neurones. | RW: Ubwonko ni ikigo cy'igenzura cy'umubiri w'umuntu. Gifite hafi neuron 86 biliyoni.
EN: Vaccines work by training the immune system to recognize and fight specific pathogens without causing disease. | FR: Les vaccins fonctionnent en entraînant le système immunitaire à reconnaître et à combattre des agents pathogènes spécifiques. | RW: Inkingo zikorera mu gutozanya uburyo bwo kumenya no kurwanya ibyorezo bidasababye indwara.
EN: Ecosystems are communities of living organisms interacting with their physical environment. | FR: Les écosystèmes sont des communautés d'organismes vivants interagissant avec leur environnement physique. | RW: Ekosistemu ni amatsinda y'ibinyabuzima bihuza n'ibidukikije byabyo.

# MATHEMATICS
EN: Mathematics is the study of numbers, shapes, patterns, and logical reasoning. | FR: Les mathématiques sont l'étude des nombres, des formes, des modèles et du raisonnement logique. | RW: Matematiki ni ubushakashatsi bw'imibare, imiterere, ibikorwa, no gutekereza neza.
EN: The Pythagorean theorem states that in a right triangle, a² + b² = c², where c is the hypotenuse. | FR: Le théorème de Pythagore stipule que dans un triangle rectangle, a² + b² = c², où c est l'hypoténuse. | RW: Ingano ya Pitagora ivuga ko mu gisharpe gifite inzitizi, a² + b² = c², aho c ni uruhande rurebire.
EN: Pi (π) is the ratio of a circle's circumference to its diameter, approximately 3.14159265358979. | FR: Pi (π) est le rapport de la circonférence d'un cercle à son diamètre, environ 3,14159. | RW: Pi (π) ni igipimo cy'intera y'umuzingo wa sericali kuri diameter yayo, hafi 3.14159.
EN: Prime numbers are numbers greater than 1 that have no divisors other than 1 and themselves. Examples: 2, 3, 5, 7, 11, 13. | FR: Les nombres premiers sont des nombres supérieurs à 1 qui n'ont pas d'autres diviseurs que 1 et eux-mêmes. | RW: Imibare ya prime ni imibare irengeje 1 idafite abagabanya uretse 1 na yo ubwayo. Urugero: 2, 3, 5, 7, 11, 13.
EN: Algebra uses variables (letters) to represent unknown quantities and solve equations. | FR: L'algèbre utilise des variables (lettres) pour représenter des quantités inconnues et résoudre des équations. | RW: Aljebra ikoresheje ibimenyetso (inyuguti) guhuza ingano zitazwi no gukemura inshuro.
EN: Calculus was independently developed by Newton and Leibniz. It studies rates of change (derivatives) and accumulation (integrals). | FR: Le calcul infinitésimal a été développé indépendamment par Newton et Leibniz. Il étudie les taux de variation et les intégrales. | RW: Calculus yaratezmbwe by'ubwigenge na Newton na Leibniz. Isuzuma ihinduka ry'inshuro (derivatives) n'ikungahaza (integrals).
EN: Statistics is the science of collecting, analyzing, interpreting, and presenting data. | FR: Les statistiques sont la science de la collecte, de l'analyse, de l'interprétation et de la présentation des données. | RW: Istatistike ni siyanse yo gukusanya, gusesengura, gusobanura, no gutangaza amakuru.
EN: Fibonacci sequence: each number is the sum of the two preceding ones: 0, 1, 1, 2, 3, 5, 8, 13, 21, 34... | FR: Suite de Fibonacci : chaque nombre est la somme des deux précédents : 0, 1, 1, 2, 3, 5, 8, 13, 21, 34... | RW: Urutonde rwa Fibonacci: buri nimero ni umubare w'imibare ibiri imbere: 0, 1, 1, 2, 3, 5, 8, 13, 21, 34...
EN: A logarithm answers the question: to what power must a base be raised to get a certain number? log₁₀(100) = 2. | FR: Un logarithme répond à la question : à quelle puissance une base doit-elle être élevée pour obtenir un certain nombre ? | RW: Logaritumu isubiza ikibazo: imbaraga zihe zigomba gukubitwa kuri inkingi kugira ngo tubone nimero runaka?

# HISTORY
EN: History is the study of past events, particularly human affairs. | FR: L'histoire est l'étude des événements passés, en particulier des affaires humaines. | RW: Amateka ni ubushakashatsi bw'ibyabaye mu gihe gishize, cyane cyane ibikorwa by'abantu.
EN: Ancient Egypt was one of the greatest civilizations in history, lasting over 3000 years. The pyramids were built as tombs for pharaohs. | FR: L'Égypte ancienne était l'une des plus grandes civilisations de l'histoire, durant plus de 3000 ans. Les pyramides étaient des tombeaux pour les pharaons. | RW: Misiri ya kera yari imwe mu masivano akomeye mu mateka, yimara imyaka irenga 3000. Piramide zatubatse nk'imva za pharaon.
EN: The Roman Empire at its peak controlled much of Europe, North Africa, and Western Asia. It fell in 476 AD. | FR: À son apogée, l'Empire romain contrôlait une grande partie de l'Europe, de l'Afrique du Nord et de l'Asie occidentale. Il est tombé en 476 après J.-C. | RW: Ubwami bwa Roma ku rwego rwarwo rw'hejuru rwagenzuraga ubunini bw'Uburayi, Afurika y'Amajyaruguru, na Aziya y'Iburengerazuba. Rwagwiye mu 476 AD.
EN: World War I lasted from 1914 to 1918 and involved most of the world's great powers. Over 17 million people died. | FR: La Première Guerre mondiale a duré de 1914 à 1918 et a impliqué la plupart des grandes puissances mondiales. Plus de 17 millions de personnes sont mortes. | RW: Intambara ya mbere y'isi yari kuva 1914 kugeza 1918 ikaba yaranakoze ingufu nyinshi z'isi. Abantu barenga miliyoni 17 bapfuye.
EN: World War II lasted from 1939 to 1945. It was the deadliest conflict in history with over 70 million deaths. | FR: La Seconde Guerre mondiale a duré de 1939 à 1945. C'était le conflit le plus meurtrier de l'histoire avec plus de 70 millions de morts. | RW: Intambara ya kabiri y'isi yari kuva 1939 kugeza 1945. Yari intambara yica cyane mu mateka - abantu barenga miliyoni 70 bapfuye.
EN: The French Revolution (1789-1799) overthrew the monarchy, established a republic, and introduced ideas of liberty, equality, and fraternity. | FR: La Révolution française (1789-1799) a renversé la monarchie, établi une république et introduit les idées de liberté, égalité, fraternité. | RW: Revolisiyo y'Ubufaransa (1789-1799) yasenye ubwami, yashinze repubulika, kandi yatangaje ibitekerezo bya vrijheid, ubungakanye, n'ubuvandimwe.
EN: The Industrial Revolution began in Britain in the late 18th century and transformed manufacturing, transportation, and society. | FR: La Révolution industrielle a commencé en Grande-Bretagne à la fin du 18e siècle et a transformé l'industrie, les transports et la société. | RW: Revolisiyo y'inganda yatangiye muri Ubwongereza mu mpera z'ikinyejana cya 18 kandi yahinduye inganda, gutwara, n'imibereho.
EN: The Cold War (1947-1991) was a geopolitical tension between the USA and USSR involving nuclear arms race, space race, and proxy wars. | FR: La Guerre froide (1947-1991) était une tension géopolitique entre les États-Unis et l'URSS impliquant une course aux armements nucléaires et une course à l'espace. | RW: Intambara y'ubukonje (1947-1991) yari intonganya ya geopolitike hagati ya USA na URSS harimo guhangana mu mber za kirimbuzi n'aho gukurura mu kirere.
EN: The Berlin Wall fell on November 9, 1989, symbolizing the end of the Cold War and the reunification of Germany. | FR: Le mur de Berlin est tombé le 9 novembre 1989, symbolisant la fin de la Guerre froide et la réunification de l'Allemagne. | RW: Inkuta ya Berlin yagwiye ku ya 9 Ugushyingo 1989, igaragariza iherezo ry'Intambara y'Ubukonje n'ubumwe bwa Budagi.
EN: Rwanda gained independence from Belgium on July 1, 1962. | FR: Le Rwanda a obtenu son indépendance de la Belgique le 1er juillet 1962. | RW: U Rwanda rwabonye ubwigenge bwa Ububiligi ku ya 1 Nyakanga 1962.
EN: The 1994 Rwandan Genocide was one of the most tragic events in African history. Approximately 800,000 Tutsi and moderate Hutu were killed in 100 days. | FR: Le génocide rwandais de 1994 est l'un des événements les plus tragiques de l'histoire africaine. Environ 800 000 Tutsi ont été tués en 100 jours. | RW: Jenoside yakorewe Abatutsi mu 1994 yari kimwe mu bikorwa bibi cyane mu mateka ya Afurika. Abantu 800,000 bapfuye mu minsi 100.
EN: Nelson Mandela was imprisoned for 27 years and became South Africa's first Black president in 1994, ending apartheid. | FR: Nelson Mandela a été emprisonné pendant 27 ans et est devenu le premier président noir d'Afrique du Sud en 1994, mettant fin à l'apartheid. | RW: Nelson Mandela yabaye muri gereza imyaka 27 kandi yabaye perezida wa mbere w'umwirabura w'Afurika y'Epfo mu 1994, akavana apartheid.

# GEOGRAPHY
EN: Geography is the study of Earth's landscapes, peoples, places, and environments. | FR: La géographie est l'étude des paysages, des peuples, des lieux et des environnements de la Terre. | RW: Jeografiya ni ubushakashatsi bw'isi n'ibibaho byayo, abantu, aho batuye, n'ibidukikije.
EN: Earth is the third planet from the Sun. It has one natural satellite, the Moon. | FR: La Terre est la troisième planète à partir du Soleil. Elle a un satellite naturel, la Lune. | RW: Isi ni ikirangamubiri cya gatatu uvuye ku Zuba. Ifite satelite imwe kamere, Ukwezi.
EN: The seven continents are: Africa, Antarctica, Asia, Australia/Oceania, Europe, North America, and South America. | FR: Les sept continents sont : l'Afrique, l'Antarctique, l'Asie, l'Australie/Océanie, l'Europe, l'Amérique du Nord et l'Amérique du Sud. | RW: Isi iragabanyijwemo ibihugu binini birindwi: Afurika, Antarktike, Aziya, Ositaraliya/Oseyaniya, Uburayi, Amerika y'Amajyaruguru, na Amerika y'Amajyepfo.
EN: Africa is the world's second-largest continent with 54 countries and over 1.4 billion people. | FR: L'Afrique est le deuxième plus grand continent du monde avec 54 pays et plus de 1,4 milliard de personnes. | RW: Afurika ni igihugu kinini cya kabiri cy'isi gifite ibihugu 54 n'abantu barenga biliyoni 1.4.
EN: The Nile is the longest river in the world at approximately 6,650 km, flowing through northeastern Africa. | FR: Le Nil est le fleuve le plus long du monde avec environ 6 650 km, traversant le nord-est de l'Afrique. | RW: Nili ni uruzi rureremereye rw'isi - hafi km 6,650 - rugenda mu majyaruguru y'iburasirazuba bwa Afurika.
EN: Mount Everest is the highest mountain on Earth at 8,849 meters above sea level, located in the Himalayas. | FR: Le mont Everest est la plus haute montagne de la Terre à 8 849 mètres d'altitude, situé dans l'Himalaya. | RW: Umusozi Everest ni umusozi muri hejuru kw'isi - metero 8,849 hejuru y'inyanja - uri mu misozi ya Himalaya.
EN: Rwanda is a landlocked country in East-Central Africa known as "The Land of a Thousand Hills" (Pays des Mille Collines). | FR: Le Rwanda est un pays enclavé d'Afrique centrale-orientale connu comme le "Pays des Mille Collines". | RW: U Rwanda ni igihugu kidafite inyanja mu Afurika yo hagati-iburasirazuba, kizwi nka "Igihugu cy'Imisozi Igihumbi".
EN: Kigali is the capital and largest city of Rwanda, located in the center of the country. | FR: Kigali est la capitale et la plus grande ville du Rwanda, située au centre du pays. | RW: Kigali ni umurwa mukuru n'umugi munini wa Rwanda, uri hagati y'igihugu.
EN: The Pacific Ocean is the largest and deepest ocean, covering about 165 million square kilometers. | FR: L'océan Pacifique est le plus grand et le plus profond des océans, couvrant environ 165 millions de kilomètres carrés. | RW: Inyanja ya Pasifika ni inyanja nini na nyirenga kw'isi, yigarurira hafi kilometero kare miliyoni 165.
EN: The Amazon River in South America carries more water than any other river, draining into the Atlantic Ocean. | FR: Le fleuve Amazone en Amérique du Sud transporte plus d'eau que tout autre fleuve et se jette dans l'océan Atlantique. | RW: Uruzi rwa Amazon muri Amerika y'Amajyepfo ruhambana amazi menshi kuruta uruzi urwo arwo rwose, rugira mu nyanja ya Atalantike.
EN: China is the most populous country with over 1.4 billion people. India is also home to over 1.4 billion people. | FR: La Chine est le pays le plus peuplé avec plus de 1,4 milliard de personnes. L'Inde compte également plus de 1,4 milliard de personnes. | RW: Ubushinwa ni igihugu gifite abantu benshi cyane - barenga biliyoni 1.4. Ubuhinde na bwo bufite abantu barenga biliyoni 1.4.

# TECHNOLOGY AND COMPUTER SCIENCE
EN: Computer science is the study of algorithms, data structures, programming, and computational theory. | FR: L'informatique est l'étude des algorithmes, des structures de données, de la programmation et de la théorie du calcul. | RW: Siyanse ya mudasobwa ni ubushakashatsi bw'imbonerahamwe, imiterere y'amakuru, poroguramishi, n'ingano y'ibarurishamibare.
EN: An algorithm is a step-by-step set of instructions for solving a problem or accomplishing a task. | FR: Un algorithme est un ensemble d'instructions étape par étape pour résoudre un problème ou accomplir une tâche. | RW: Algorithme ni amabwiriza y'intambwe ku ntambwe yo gukemura ikibazo cyangwa gusoza akazi.
EN: Artificial Intelligence (AI) is the simulation of human intelligence by machines, including learning, reasoning, and problem-solving. | FR: L'intelligence artificielle (IA) est la simulation de l'intelligence humaine par des machines, incluant l'apprentissage, le raisonnement et la résolution de problèmes. | RW: Ubwenge bw'ubukorikori (AI) ni guhuza ubwenge bw'abantu mu mashini, harimo kwiga, gutekereza, no gukemura ibibazo.
EN: Machine learning is a subset of AI where systems learn from data without being explicitly programmed. | FR: L'apprentissage automatique est un sous-ensemble de l'IA où les systèmes apprennent à partir de données sans être explicitement programmés. | RW: Kwiga kw'ubukorikori ni igice cya AI aho sisitemu ziga mu makuru nta porogurame zihabwa.
EN: The Internet is a global network of computers and devices connected by standardized communication protocols (TCP/IP). | FR: Internet est un réseau mondial d'ordinateurs et d'appareils connectés par des protocoles de communication standardisés (TCP/IP). | RW: Interineti ni imbonerahamwe y'isi yose y'imudasobwa zigendanye na protocol y'itumanahana ry'amakuru (TCP/IP).
EN: Python is a popular, high-level programming language known for simplicity, readability, and versatility. | FR: Python est un langage de programmation de haut niveau populaire, connu pour sa simplicité, sa lisibilité et sa polyvalence. | RW: Python ni ururimi rwa poroguramishi ruzwi kandi ruri mu rwego rwo hejuru, ruzwi ku bushobozi, gusomwa, n'imikorere myinshi.
EN: Artificial Neural Networks are computing systems inspired by biological neural networks in animal brains. | FR: Les réseaux de neurones artificiels sont des systèmes informatiques inspirés des réseaux de neurones biologiques dans les cerveaux animaux. | RW: Imbonerahamwe ya neurone y'ubukorikori ni sisitemu za mudasobwa zahawe insanganyamatsiko n'imbonerahamwe ya neurone ya kamere mu bwonko bw'inyamaswa.
EN: Cybersecurity protects computer systems and networks from theft, damage, and unauthorized access. | FR: La cybersécurité protège les systèmes informatiques et les réseaux contre le vol, les dommages et l'accès non autorisé. | RW: Umutekano wa mudasobwa urinda sisitemu za mudasobwa n'imbonerahamwe gutwara, gusenywa, n'kwinjira nta burenganzira.
EN: Cloud computing delivers computing services — servers, storage, databases, networking, software — over the Internet. | FR: Le cloud computing fournit des services informatiques — serveurs, stockage, bases de données, réseaux, logiciels — via Internet. | RW: Ibarurishamibare mu gicu gitanga serivisi za mudasobwa - seriveri, ububiko, imisingi y'amakuru, imbonerahamwe, porogiram - hakoreshejwe Interineti.
EN: Open source software has its source code freely available for anyone to view, modify, and distribute. | FR: Le logiciel open source a son code source librement disponible pour que quiconque puisse le consulter, le modifier et le distribuer. | RW: Porogiram ifunguye itanga kode yayo y'inkomoko ubuntu kuri buri wese kureba, guhindura, no gusangira.

# ASTRONOMY AND SPACE
EN: Astronomy is the scientific study of celestial objects, space, and the universe as a whole. | FR: L'astronomie est l'étude scientifique des objets célestes, de l'espace et de l'univers dans son ensemble. | RW: Astronomiya ni ubushakashatsi bwa siyanse bw'ibintu byo mu kirere, ahantu, n'isi yose muri rusange.
EN: The universe is approximately 13.8 billion years old and began with the Big Bang. | FR: L'univers a environ 13,8 milliards d'années et a commencé avec le Big Bang. | RW: Isi yose ifite imyaka hafi biliyoni 13.8 kandi yatangiye na Big Bang.
EN: Our solar system has 8 planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune. | FR: Notre système solaire a 8 planètes : Mercure, Vénus, Terre, Mars, Jupiter, Saturne, Uranus et Neptune. | RW: Sisitemu yacu ya zuba ifite ikirangamubiri 8: Mercury, Venus, Isi, Mars, Jupiter, Saturn, Uranus, na Neptune.
EN: The Sun is a star — a giant ball of hot plasma generating energy through nuclear fusion. It contains 99.86% of the solar system's mass. | FR: Le Soleil est une étoile — une gigantesque boule de plasma chaud qui génère de l'énergie par fusion nucléaire. Il contient 99,86% de la masse du système solaire. | RW: Izuba ni inyenyeri - umupira munini wa plasma ishyushye igeneramo ingufu hakoreshejwe fusion y'ibice bya kirimbuzi. Irimo 99.86% y'uburemere bwa sisitemu ya zuba.
EN: A black hole is a region of spacetime where gravity is so strong that nothing — not even light — can escape. | FR: Un trou noir est une région de l'espace-temps où la gravité est si forte que rien — pas même la lumière — ne peut s'échapper. | RW: Intoboro y'umukara ni ahantu mu kirere aho uburemere bukomaye cyane ku buryo ikiremwa cyose - n'urumuri - ntigishobora guhunga.
EN: The Milky Way is our galaxy, a spiral galaxy containing over 200 billion stars, about 100,000 light-years across. | FR: La Voie lactée est notre galaxie, une galaxie spirale contenant plus de 200 milliards d'étoiles, d'environ 100 000 années-lumière de diamètre. | RW: Inzira Nyamweru ni galaxi yacu, galaxi ya spiral ifite inyenyeri 200 biliyoni, hafi kilometero nka 100,000 y'umuvuduko w'urumuri.
EN: Neil Armstrong became the first human to walk on the Moon on July 20, 1969, during NASA's Apollo 11 mission. | FR: Neil Armstrong est devenu le premier humain à marcher sur la Lune le 20 juillet 1969, lors de la mission Apollo 11 de la NASA. | RW: Neil Armstrong yabaye umuntu wa mbere kugenda ku Ukwezi ku ya 20 Nyakanga 1969, mu rugendo rwa NASA rwa Apollo 11.
EN: Mars is called the Red Planet due to iron oxide (rust) on its surface. NASA is planning crewed missions to Mars. | FR: Mars est appelée la Planète Rouge en raison de l'oxyde de fer (rouille) à sa surface. La NASA prévoit des missions habitées vers Mars. | RW: Mars yitwa Ikirangamubiri Gitukura kubera iron oxide (akagome) ku buso bwayo. NASA irateganya inzira zifite abantu zigana Mars.

# ECONOMICS AND BUSINESS
EN: Economics studies how individuals, businesses, and governments allocate scarce resources. | FR: L'économie étudie comment les individus, les entreprises et les gouvernements allouent des ressources rares. | RW: Ekonomiya isuzuma uburyo abantu, ubucuruzi, n'ibihugu bigabanya ibisobanuro bikeya.
EN: GDP (Gross Domestic Product) measures the total value of goods and services produced in a country in a year. | FR: Le PIB (Produit Intérieur Brut) mesure la valeur totale des biens et services produits dans un pays en un an. | RW: GDP (Ikigereranyo Rusange cy'Igihugu) igererana agaciro kose k'ibintu n'imirimo ikorwa mu gihugu mu mwaka umwe.
EN: Inflation is the rate at which the general price level of goods and services rises, reducing purchasing power. | FR: L'inflation est le taux auquel le niveau général des prix des biens et services augmente, réduisant le pouvoir d'achat. | RW: Inflation ni inshuro ikiguzi rusange cy'ibintu n'imirimo kizamuka, igabanya ubushobozi bwo kugura.
EN: Supply and demand is the fundamental economic model: when supply exceeds demand, prices fall; when demand exceeds supply, prices rise. | FR: L'offre et la demande est le modèle économique fondamental : quand l'offre dépasse la demande, les prix baissent ; quand la demande dépasse l'offre, les prix augmentent. | RW: Gutanga no gusaba ni ingano y'ekonomiya nkuru: iyo gutanga kuruta gusaba, ibiciro bikwa; iyo gusaba kuruta gutanga, ibiciro bizamuka.

# PHILOSOPHY
EN: Philosophy is the study of fundamental questions about existence, knowledge, values, reason, mind, and language. | FR: La philosophie est l'étude des questions fondamentales sur l'existence, la connaissance, les valeurs, la raison, l'esprit et le langage. | RW: Filozofiya ni ubushakashatsi bw'ibibazo nkuru ku buzima, ubumenyi, agaciro, gutekerezka, ubwenge, n'ururimi.
EN: Socrates, Plato, and Aristotle were the three greatest philosophers of Ancient Greece and the foundations of Western philosophy. | FR: Socrate, Platon et Aristote étaient les trois plus grands philosophes de la Grèce antique et les fondements de la philosophie occidentale. | RW: Sokrate, Platon, na Aristote bari abashakashatsi bane b'inararibonye ba Girikiya ya kera, bashinze filozofiya y'iburengerazuba.
EN: René Descartes said "I think, therefore I am" (Cogito ergo sum), establishing thinking as proof of one's existence. | FR: René Descartes a dit "Je pense, donc je suis" (Cogito ergo sum), établissant la pensée comme preuve de l'existence. | RW: René Descartes yavuze "Ntekereza, bityo ndaho" (Cogito ergo sum), ashyiraho gutekereza nk'ibimenyetso by'ubuzima.
EN: Ethics is the branch of philosophy that studies moral principles and how to distinguish right from wrong. | FR: L'éthique est la branche de la philosophie qui étudie les principes moraux et comment distinguer le bien du mal. | RW: Etike ni ishami rya filozofiya risuzuma amahame y'imico no kumenya uburyo bwo gutandukanya icyiza n'ikibi.

# ARTS AND CULTURE
EN: Music is an art form that combines sound, rhythm, and melody. Major genres include classical, jazz, rock, pop, hip-hop, and traditional African music. | FR: La musique est une forme d'art qui combine son, rythme et mélodie. Les principaux genres comprennent la musique classique, le jazz, le rock, la pop et le hip-hop. | RW: Umuziki ni uburyo bw'ubugeni bufatanya ijwi, indirimbo, na melodiya. Ibitangaza by'ingenzi ni classical, jazz, rock, pop, hip-hop, n'indirimbo z'Afurika.
